3.800000,5.000000,3.508000,4.778000,4.778000,93831500
5.158000,6.084000,4.660000,4.766000,4.766000,85935500
5.000000,5.184000,4.054000,4.392000,4.392000,41094000
4.600000,4.620000,3.742000,3.840000,3.840000,25699000
4.000000,4.000000,3.166000,3.222000,3.222000,34334500
3.280000,3.326000,2.996000,3.160000,3.160000,34608500
3.228000,3.504000,3.114000,3.492000,3.492000,38557000
3.516000,3.580000,3.310000,3.480000,3.480000,20253000
3.590000,3.614000,3.400000,3.410000,3.410000,11012500
3.478000,3.728000,3.380000,3.628000,3.628000,13400500
3.588000,4.030000,3.552000,3.968000,3.968000,20976000
3.988000,4.300000,3.800000,3.978000,3.978000,18699000
4.140000,4.260000,4.010000,4.128000,4.128000,13106500
4.274000,4.450000,4.184000,4.382000,4.382000,12432500
4.370000,4.370000,4.010000,4.060000,4.060000,9126500
4.132000,4.180000,3.900000,4.044000,4.044000,6262500
4.100000,4.250000,4.074000,4.200000,4.200000,4789000
4.238000,4.312000,4.212000,4.258000,4.258000,3268000
4.300000,4.300000,4.060000,4.190000,4.190000,4611000
4.182000,4.236000,4.052000,4.110000,4.110000,3098500
4.110000,4.180000,4.102000,4.144000,4.144000,2336000
4.154000,4.176000,4.000000,4.070000,4.070000,3080000
4.040000,4.088000,3.910000,3.988000,3.988000,2134500
4.100000,4.194000,4.066000,4.184000,4.184000,3590500
4.200000,4.390000,4.164000,4.390000,4.390000,6152500
4.390000,4.436000,4.170000,4.252000,4.252000,4565000
4.308000,4.310000,4.010000,4.090000,4.090000,3981000
4.020000,4.032000,3.904000,3.918000,3.918000,3709500
3.980000,3.996000,3.890000,3.920000,3.920000,4063500
3.930000,3.930000,3.764000,3.806000,3.806000,6406500
3.738000,3.776000,3.570000,3.580000,3.580000,3988000
3.560000,3.580000,3.478000,3.520000,3.520000,3455000
3.636000,3.690000,3.532000,3.664000,3.664000,3170000
3.690000,3.760000,3.652000,3.756000,3.756000,2429000
3.792000,3.880000,3.756000,3.830000,3.830000,2239500
3.918000,3.918000,3.720000,3.754000,3.754000,3006500
3.708000,3.850000,3.666000,3.758000,3.758000,2895500
3.730000,3.822000,3.702000,3.820000,3.820000,1480000
3.818000,4.078000,3.800000,4.026000,4.026000,5440500
3.850000,3.942000,3.790000,3.840000,3.840000,3365500
3.832000,3.996000,3.712000,3.980000,3.980000,2516500
3.978000,4.054000,3.920000,3.950000,3.950000,2169000
3.950000,3.974000,3.900000,3.940000,3.940000,1898000
3.940000,4.038000,3.922000,3.974000,3.974000,3664000
3.932000,3.958000,3.866000,3.896000,3.896000,1005500
3.924000,4.138000,3.920000,4.090000,4.090000,2474500
4.074000,4.248000,4.062000,4.212000,4.212000,2435500
4.174000,4.260000,4.132000,4.210000,4.210000,2173000
4.122000,4.200000,4.100000,4.108000,4.108000,1217000
4.132000,4.190000,4.120000,4.180000,4.180000,1442000
4.200000,4.210000,4.138000,4.142000,4.142000,1881000
4.150000,4.186000,3.952000,4.034000,4.034000,1933000
4.178000,4.180000,4.100000,4.144000,4.144000,1804000
4.108000,4.320000,4.106000,4.224000,4.224000,3273500
4.196000,4.400000,4.158000,4.396000,4.396000,3423000
4.430000,4.632000,4.168000,4.188000,4.188000,13422500
