1,4,3,0.2
4,8,6,0.4
7,3,9,0.6
10,12,15,0.8
15,17,17,1
18,20,18,1.2
22,25,27,1.4
24,26,27,1.6
27,26,27,1.8
29,29,30,2
31,31,33,2.2
34,30,36,2.4
36,38,40,2.6
37,41,48,2.8
43,44,45,3.1
46,47,48,3.2
49,52,55,3.2
52,52,51,3.2
55,56,57,3.3
58,59,62,3.4
61,62,66,3.4
64,65,68,3.3
67,68,70,3.2
70,71,72,3.2
79,84,65,3.1
73,75,74,3
79,80,81,3
82,86,87,2.8
85,86,88,2.7
86,85,90,2.7
91,92,93,2.6
94,95,96,2.6
95,98,98,2.5
100,101,104,2.5
103,104,108,2.4
106,107,109,2.4
109,110,111,2.3
112,113,114,2
117,119,121,1.8
120,129,130,1.6
123,128,129,1.4
126,135,137,1.2
127,128,129,1
130,131,132,0.8
133,134,135,0.7
136,137,138,0.6
139,140,141,0.5
142,143,144,0.4
145,146,147,0.2
148,149,150,0.1
